Date,Open,High,Low,Close
2019-03-13 12:30,964.58,965.08,964.11,965.08
2019-03-13 12:15,963.89,964.73,963.85,964.64
2019-03-13 12:00,963.42,964.42,963.39,963.9
2019-03-13 11:45,963.51,963.62,963.23,963.32
2019-03-13 11:30,963.93,963.99,963.34,963.54
2019-03-13 11:15,963.86,964.32,963.79,963.95
2019-03-13 11:00,962.82,964,962.81,963.83
2019-03-13 10:45,962.57,963.61,962.57,962.72
2019-03-13 10:30,962.45,963.29,962.45,962.59
2019-03-13 10:15,962.91,962.96,962.1,962.35
2019-03-13 10:00,963.51,963.75,962.88,963.01
2019-03-13 9:45,963.95,964.06,963.17,963.54
2019-03-13 9:30,965.04,966.42,963.8,963.96
2019-03-12 16:15,962.13,962.13,962.13,962.13
2019-03-12 16:00,962.13,962.13,962.13,962.13
2019-03-12 15:45,961.97,962.26,961.67,961.9
2019-03-12 15:30,961.9,962.19,961.88,961.92
2019-03-12 15:15,962.33,962.33,961.64,961.9
2019-03-12 15:00,962.58,962.81,962.33,962.34
2019-03-12 14:45,962.15,962.6,961.95,962.6
2019-03-12 14:30,962.27,962.38,962.11,962.18
2019-03-12 14:15,962.19,962.56,962.09,962.24
2019-03-12 14:00,961.46,962.16,961.44,962.16
2019-03-12 13:45,961.19,961.52,961.19,961.44
2019-03-12 13:30,960.94,961.21,960.77,961.18
